id	batch	stratum	path	adv	ctx	ms	answer	outcome	pair	in_text	suggested	freq_text	freq_sugg	position	words	source_id	sentence
b002-050	batch-002	clean	none			3561	both-fine	control-pass	ט/ת	אנטוני	אנתוני	79	91	2	4	clean-64309-2	היי שמי אנטוני היידן
b002-051	batch-002	real	adjacent	22	2	3503	in-text	overruled	ק/כ	קי	כי	105	145	1	7	firing-12668-1	תחב קי אותי כאילו את באמת שמחה
b002-052	batch-002	real	adjacent	29	2	2673	in-text	overruled	ש/ס	השמים	הסמים	87	100	2	4	firing-104263-2	הארץ עם השמים הגדולים
b002-053	batch-002	real	adjacent	22	2	3514	suggested	agreed	ב/ו	באז	ואז	86	135	1	5	firing-86646-1	לא באז תחשוב על זה
b002-054	batch-002	real	adjacent	22	2	3796	in-text	overruled	ו/ב	והתנהגות	בהתנהגות	59	73	10	13	firing-188523-10	עכשיו יש לנו נשק אוטומטי מחסן מלא די וי די והתנהגות בלתי נאותה
b002-055	batch-002	real	adjacent	34	2	2302	in-text	overruled	ש/ס	שפרד	ספרד	94	80	3	5	firing-228801-3	את מדברת על שפרד וסלואן
b002-056	batch-002	real	adjacent	27	2	6757	unclear	unclear	ח/כ	חי	כי	118	145	5	14	firing-26907-5	אמא צ נדלר שונא את חי ההודיה והוא לא אוכל אף מאכל של החג
b002-057	batch-002	real	adjacent	41	2	2986	suggested	agreed	ש/ס	תפשתי	תפסתי	49	106	1	7	firing-17244-1	כמעת תפשתי אותו אבל זזו לי המשקפיים
b002-058	batch-002	injected	known			5198	suggested	control-pass	כ/ק	רכ	רק	40	153	7	9	injected-28829-7	הא הא אין לי בעיה עם זה רכ ש
b002-059	batch-002	real	adjacent	52	2	10010	in-text	overruled	ב/ו	עברך	עורך	64	110	6	15	firing-129511-6	לא קשור לטיסה אבל בהסתמך על עברך הצבאי לקרן שלי יש משרות פנויות במחלקת אבטחה
b002-060	batch-002	real	adjacent	21	2	4339	in-text	overruled	ק/כ	בק	בכ	85	66	4	7	firing-42951-4	שים לב הראות פוחתת בק מ האחרון
b002-061	batch-002	real	adjacent	47	2	6039	in-text	overruled	ב/ו	הבא	הוא	125	164	2	4	firing-178250-2	נעבור לתיק הבא ד
b002-062	batch-002	real	adjacent	25	2	5768	unclear	unclear	ס/ש	המסיכה	המשיכה	74	89	3	5	firing-109665-3	עשרים וחמישה על המסיכה סליחה
b002-063	batch-002	real	adjacent	34	2	9013	suggested	agreed	ו/ב	וביהמ	בביהמ	25	63	3	15	firing-188009-3	רידנשניידר חזר הביתה וביהמ ש מינה לי את לויד גארווי שהותיר אותי לחסדי בית המשפט
b002-064	batch-002	real	adjacent	29	2	3227	in-text	overruled	ב/ו	בלענות	ולענות	38	62	2	6	firing-250335-2	הקמפיין שלך בלענות על שאלות על
b002-065	batch-002	real	adjacent	40	2	6740	unclear	unclear	ע/א	עלה	אלה	108	130	7	11	firing-211188-7	עצום את עיניך תינוקות בעריסה סופרות כבשים עלה את בית החלומות
b002-066	batch-002	real	adjacent	34	2	7375	in-text	overruled	ט/ת	נפטר	נפתר	96	70	3	5	firing-82223-3	למה אתה לא נפטר מהם
b002-067	batch-002	real	adjacent	33	2	25975	in-text	overruled	ח/כ	החומר	הכומר	102	98	5	11	firing-37709-5	ואני אומר אם זה היה החומר הפרטי שלה שאתו היא מתמסטלת
b002-068	batch-002	real	adjacent	31	2	4480	in-text	overruled	א/ע	באולם	בעולם	90	121	4	9	firing-180858-4	האקוסטיקה שם דומה לאקוסטיקה באולם ו תראו מי הופיעה
b002-069	batch-002	real	adjacent	30	2	9400	unclear	unclear	כ/ח	כבר	חבר	143	136	3	8	firing-20516-3	אבנים יקרות כמו כבר מכרתי תכשיטים לחנויות יוקרה
b002-070	batch-002	repeat:batch-001	adjacent	25	2	2508	in-text	overruled	ש/ס	שקי	סקי	73	84	9	23	firing-221784-9	אבא ודאי לא שם לב שפרקתי ק ג של שקי קמח כי הוא עדיין לא יכול להרימם ולכן אין לאמא זמן לשבת ולקשקש
b002-071	batch-002	real	adjacent	21	2	2443	in-text	overruled	ט/ת	אמט	אמת	81	107	2	4	firing-106440-2	פגשתי את אמט בשיקגו
b002-072	batch-002	real	adjacent	58	2	2568	in-text	overruled	ו/ב	וחיים	בחיים	71	126	4	6	firing-48680-4	הם פשוט אמיתיים יותר וחיים יותר
b002-073	batch-002	real	adjacent	33	2	4615	in-text	overruled	ס/ש	ההסוואה	ההשוואה	67	56	2	10	firing-18620-2	תבטל את ההסוואה של ספינת ההדמיה ותפעיל את קרן הגרירה
b002-074	batch-002	real	adjacent	32	2	11807	in-text	overruled	ע/א	ועף	ואף	51	104	5	18	firing-156542-5	עוזב את הגלגל של ב ועף אל הגלגל של אופניים א קדימה ואחורה עד ששני זוגות האופניים מתנגשים
b002-075	batch-002	real	adjacent	27	2	3341	both-fine	both-fine	ט/ת	אנטוני	אנתוני	79	91	11	13	firing-220424-11	הרשה לי להציג את בת חסותי העלמה קתרין ברוק זהו סר אנטוני נייברט
b002-076	batch-002	real	adjacent	32	2	3345	in-text	overruled	א/ע	אלה	עלה	130	108	5	13	firing-76121-5	אבל אם נסכים לקרב הזה אלה שישרדו בו יראו את צלקותיהם בגאווה ויאמרו
b002-077	batch-002	real	adjacent	59	2	2497	in-text	overruled	ס/ש	סולח	שולח	84	101	4	12	firing-239706-4	אבי לעולם לא היה סולח לי אם לא הייתי מציגה את עצמי
b002-078	batch-002	clean	none			1632	in-text	control-pass	כ/ח	יכול	יחול	153	55	3	7	clean-95542-3	אני חושב שאני יכול לחתום על זה
b002-079	batch-002	real	adjacent	35	2	2745	in-text	overruled	ח/כ	חובשים	כובשים	70	58	1	19	firing-70054-1	כשהם חובשים את כובע הטלה הפרסי רובם אפילו אינם יודעים שהם לובשים עור של צאצא כדי לחמם את עצמם
b002-080	batch-002	real	adjacent	25	2	716	both-fine	both-fine	א/ע	להאריך	להעריך	75	91	3	5	firing-241596-3	שהיום אנחנו יכולים להאריך חיים
b002-081	batch-002	real	adjacent	39	2	6469	in-text	overruled	ב/ו	בג	וג	103	110	4	6	firing-142449-4	אנחנו לא יכולות לבטוח בג ונתן
b002-082	batch-002	real	adjacent	24	2	8167	in-text	overruled	ק/כ	קבר	כבר	85	143	7	10	firing-154472-7	לא יכולתי לצאת לראפטינג כי הוא בדיוק קבר ילדה שטבעה
b002-083	batch-002	real	adjacent	31	2	4685	in-text	overruled	א/ע	אם	עם	157	157	14	18	firing-155171-14	אני רק אומר שאם החתול הזה באמת תקף אותך יש פחות סיכויים שהוא יחזור אם שתיכן תהיו יחד
b002-084	batch-002	real	adjacent	39	2	5559	suggested	agreed	ק/כ	במק	במכ	51	56	17	19	firing-197915-17	מה אפשר לעשות עם בחור כזה הוא טס כל כך מהר והכל אי אפשר אפילו לעקוב אחריו במק ם
b002-085	batch-002	real	adjacent	27	2	3747	in-text	overruled	ע/א	לעור	לאור	78	101	10	12	firing-131599-10	כנראה שאתה לא יכול להכיר מישהו באמת עד ש נכנסת לעור שלו
b002-086	batch-002	real	adjacent	45	2	4307	in-text	overruled	ת/ט	השתן	השטן	83	102	9	11	firing-217873-9	אל תחשבי שהוא שלך רק מכיוון שסימנת אותו עם השתן שלך
b002-087	batch-002	real	adjacent	22	2	6234	in-text	overruled	ו/ב	ושל	בשל	95	97	14	16	firing-77871-14	עכשיו במאמץ לשפר את כל זה הכנסיה החליטה שהשנה זה הזמן להתחדשות של אמונה ושל סגנון
b002-088	batch-002	repeat:batch-001	adjacent	50	1	2322	unclear	unclear	ע/א	לע	לא	85	178	8	11	firing-207021-8	םחל תצק קר םינוונחה תא הריכמ תא אבא לע ורבדי םה
b002-089	batch-002	injected	known			4342	suggested	control-pass	ע/א	היע	היא	22	157	10	12	injected-89257-10	אנשים ווילו עדיין שם בחוץ והיא כנראה לא יודעת מה היע עושה
b002-090	batch-002	real	adjacent	35	2	4226	in-text	overruled	ס/ש	בסירה	בשירה	86	66	1	5	firing-94772-1	הייתי בסירה של נג ריאן
b002-091	batch-002	clean	none			6627	in-text	control-pass	א/ע	לא	לע	178	85	5	8	clean-11247-5	הוא לא אוהב ג וש לא אני לא
b002-092	batch-002	clean	none			4049	in-text	control-pass	ש/ס	שאני	סאני	150	83	7	9	clean-97866-7	אבל אני לא יכול שלא להרגיש כמו שאני מרגיש
b002-093	batch-002	real	adjacent	29	2	3041	in-text	overruled	ע/א	ער	אר	100	89	4	6	firing-104645-4	ג נט קיוויתי שאת ער ה
b002-094	batch-002	injected	known			433	suggested	control-pass	ע/א	לע	לא	85	178	2	8	injected-97275-2	שמע לי לע סוחבים קרון מאחורי מכסחת נוסעת
b002-095	batch-002	injected	known			2820	suggested	control-pass	כ/ח	אכד	אחד	21	149	2	6	injected-109379-2	ותזכרו אף אכד לא נוגע בפאזי
b002-096	batch-002	real	adjacent	33	2	3698	suggested	agreed	א/ע	ארב	ערב	64	123	3	7	firing-135153-3	מה דעתכם על ארב אלפרט וטיחואנה בראס
b002-097	batch-002	real	adjacent	22	2	2568	in-text	overruled	ב/ו	בלראות	ולראות	55	98	3	6	firing-70207-3	אני לא מעוניין בלראות אותם מתים
b002-098	batch-002	real	adjacent	57	2	3832	suggested	agreed	ח/כ	מחסה	מכסה	93	92	1	6	firing-80369-1	הפיצוץ מחסה את הגניבה של הפלוטוניום
b002-099	batch-002	real	adjacent	68	2	3824	in-text	overruled	ב/ו	הבא	הוא	125	164	1	12	firing-87060-1	והפריט הבא מספר הוא מנורת סטיקלי והמכרז יחל ב דולר עכשיו עכשיו
b002-100	batch-002	real	adjacent	53	2	5373	in-text	overruled	ב/ו	לב	לו	126	147	5	12	firing-134424-5	אין לך שום דמיון שום לב שום ביצים אין לך כלום שם
b002-101	batch-002	real	adjacent	26	2	10198	in-text	overruled	ב/ו	בזה	וזה	133	131	3	10	firing-197719-3	ואז החזרת לו בזה שהתחתנת אתי והתחלת לשתות איזו נקמה
b002-102	batch-002	repeat:batch-001	adjacent	47	2	5600	in-text	overruled	ב/ו	הבא	הוא	125	164	10	16	firing-248750-10	אם אני אתן למקסוול לצאת מזה אתה לא חושב שהבחור הבא ינסה לעשות את אותו הדבר
b002-103	batch-002	clean	none			3062	in-text	control-pass	ס/ש	נוסף	נושף	116	80	5	9	clean-81281-5	אני אלך ואדאג שתקבל עותק נוסף מהמזכר ההוא אוקי
b002-104	batch-002	clean	none			3878	in-text	control-pass	ו/ב	ואני	באני	144	77	5	8	clean-89817-5	רבנו כל הזמן מרי אן ואני ואביה החורג
b002-105	batch-002	injected	known			3043	suggested	control-pass	א/ע	אוזרת	עוזרת	30	100	4	6	injected-57579-4	את בנה החורג ואת אוזרת הבית
b002-106	batch-002	real	adjacent	30	2	6914	unclear	unclear	ט/ת	מוטו	מותו	72	100	1	16	firing-221975-1	שבט מוטו זכה במחנה מפואר יחד עם מחסה נרחב שהיה עמוס באוכל אספקה וכלים לשם נוחיות
b002-107	batch-002	real	adjacent	47	2	3653	suggested	agreed	ח/כ	יחל	יכל	65	102	1	6	firing-229936-1	הוא יחל לספור אם לא תפתח
b002-108	batch-002	real	adjacent	39	2	2470	suggested	agreed	כ/ק	כריש	קריש	86	72	2	5	firing-227482-2	היה לי כריש דם במוח
b002-109	batch-002	real	adjacent	29	2	4373	in-text	overruled	א/ע	אל	על	148	164	5	14	firing-194709-5	לכן רק שירו שיר לשלום אל תלחשו תפילה מוטב תשירו שיר לשלום בצעקה גדולה
b002-110	batch-002	real	adjacent	22	2	2034	in-text	overruled	ת/ט	שתף	שטף	63	73	1	4	firing-9433-1	בהחלט שתף את כולנו
b002-111	batch-002	real	adjacent	56	2	6777	unclear	unclear	כ/ח	לכו	לחו	110	68	3	6	firing-7792-3	הוא קפץ ל לכו ל זוז
b002-112	batch-002	real	adjacent	25	2	4517	in-text	overruled	א/ע	אם	עם	157	157	12	16	firing-257325-12	אני חושש שאין הרבה כמרים באזור זה של החלל או בכל אזור אם להגיד את האמת
b002-113	batch-002	injected	known			2658	suggested	control-pass	ס/ש	יס	יש	78	158	1	10	injected-2847-1	האם יס משהו שאתה מבקש לומר לבית המשפט מר וולגרשריף
b002-114	batch-002	real	adjacent	26	2	4230	in-text	overruled	ב/ו	הברה	הורה	65	95	5	16	firing-129569-5	ובכן אולי לא אמרתי כל הברה קטנה וזעירה לא אבל באופן בסיסי אמרתי כן באופן בסיסי
b002-115	batch-002	repeat:batch-001	adjacent	43	2	3450	both-fine	both-fine	ש/ס	הכשפים	הכספים	63	85	2	4	firing-8810-2	ראינו את הכשפים שלו
b002-116	batch-002	real	adjacent	40	2	7080	in-text	overruled	ש/ס	שיבת	סיבת	41	87	6	15	firing-242096-6	עם זאת הם לא חגגו את שיבת השמש לחיים עד לשוויון האביב או חג הפסחא
b002-117	batch-002	real	adjacent	32	2	4200	in-text	overruled	ע/א	עין	אין	109	148	3	5	firing-119738-3	לך אני ישים עין עליו
b002-118	batch-002	real	adjacent	49	2	4130	in-text	overruled	ב/ו	הבא	הוא	125	164	3	7	firing-156247-3	מי יהיה המוביל הבא בקרב האיינשטיין הבא
b002-119	batch-002	real	adjacent	30	2	2572	in-text	overruled	ט/ת	הביטי	הביתי	89	71	3	6	firing-104082-3	לה לה לה הביטי על ראשי
b002-120	batch-002	real	adjacent	25	2	2171	in-text	overruled	ח/כ	תחבוש	תכבוש	61	52	2	5	firing-172423-2	אמרתי לך תחבוש את הכובע
b002-121	batch-002	real	adjacent	27	2	7583	in-text	overruled	א/ע	ההאפלה	ההעפלה	46	24	4	7	firing-53478-4	זה גרם ב את ההאפלה בניו יורק
b002-122	batch-002	real	adjacent	23	2	3910	in-text	overruled	ו/ב	קרון	קרבן	75	81	2	4	firing-136628-2	תפתח את קרון המטען
b002-123	batch-002	real	adjacent	22	2	2487	in-text	overruled	ח/כ	חלום	כלום	106	132	5	16	firing-210632-5	האם אי פעם היה לכם חלום שנראה כל כך אמיתי עד שכשהתעוררתם לא ידעתם למה להאמין
b002-124	batch-002	real	adjacent	24	2	4647	suggested	agreed	ש/ס	משופר	מסופר	60	65	1	6	firing-48611-1	זה משופר טורבו גנרטור בתדירות נמוכה
b002-125	batch-002	real	adjacent	23	2	10228	suggested	agreed	ב/ו	דבר	דור	143	83	5	8	firing-104158-5	מה עוד יש לי לעזאזל דבר שיקר לי
b002-126	batch-002	real	adjacent	37	2	4104	in-text	overruled	ב/ו	לב	לו	126	147	3	12	firing-156741-3	אנחנו שורפים בפעימות לב דברים גדולים באים במחיר גדול מר פאצ ר
b002-127	batch-002	real	adjacent	42	2	2439	in-text	overruled	ע/א	שעם	שאם	85	117	3	13	firing-183469-3	כן נראה לי שעם קצת יין אדום אפשר יהיה את נראית ממש נחמדה
b002-128	batch-002	real	adjacent	21	2	6148	in-text	overruled	ש/ס	שר	סר	100	97	3	9	firing-80535-3	תסתכלו יש לי שר חקלאות שבחיים לא אכל ירק
b002-129	batch-002	real	adjacent	23	2	4057	in-text	overruled	ב/ו	בכאב	וכאב	80	69	4	7	firing-146496-4	האם התנסת אי פעם בכאב ראש מיידי
b002-130	batch-002	real	adjacent	22	2	2463	suggested	agreed	כ/ח	הבריכה	הבריחה	89	83	1	4	firing-39507-1	בעיות הבריכה שלי נפתרו
b002-131	batch-002	real	adjacent	54	2	1419	both-fine	both-fine	ש/ס	כשפי	כספי	60	92	4	8	firing-237628-4	הן אמורות לשמור את כשפי הרוע בפנים נכון
b002-132	batch-002	real	adjacent	24	2	2610	unclear	unclear	ש/ס	בוש	בוס	86	108	1	5	firing-126041-1	זה בוש צ אס שוגרבוש
b002-133	batch-002	injected	known			3463	suggested	control-pass	ב/ו	לב	לו	126	147	2	4	injected-10500-2	אז תן לב לחתום
b002-134	batch-002	real	adjacent	35	2	7783	suggested	agreed	א/ע	אין	עין	148	109	6	8	firing-92106-6	השנאה מתפוגגת האהבה אינה אלא תשוקה אין תחת
b002-135	batch-002	injected	known			3484	suggested	control-pass	ס/ש	אנסים	אנשים	63	138	6	8	injected-14679-6	היה מלון נחמד חוף נחמד פגשתי אנסים נחמדים
b002-136	batch-002	real	adjacent	58	2	9365	in-text	overruled	ו/ב	וכל	בכל	117	138	4	7	firing-256967-4	תודה על אתמול בערב וכל הקשור באימא
b002-137	batch-002	real	adjacent	40	2	5947	in-text	overruled	ע/א	רעה	ראה	104	117	3	6	firing-130590-3	זאת הייתה הצהרה רעה מה שהצהרת
b002-138	batch-002	clean	none			6979	unclear	control-miss	ס/ש	מסחר	משחר	78	60	4	11	clean-23567-4	שמו סטיבן והוא מתווך מסחר ואנו גרים בדירה נהדרת במרכז העיר
b002-139	batch-002	real	adjacent	32	2	4386	both-fine	both-fine	ו/ב	ויתרון	ביתרון	38	69	2	5	firing-62246-2	אצטרך לוחמים ויתרון של דקות
b002-140	batch-002	real	adjacent	98	2	4670	both-fine	both-fine	ש/ס	שימן	סימן	46	110	1	7	firing-138287-1	הוא שימן את זה או משהו כזה
b002-141	batch-002	real	adjacent	49	2	3431	suggested	agreed	ע/א	לעזעזל	לעזאזל	84	139	1	9	firing-92498-1	לך לעזעזל מני איך יכלת לעשות לי את זה
b002-142	batch-002	injected	known			5919	suggested	control-pass	ק/כ	מקן	מכן	47	114	4	13	injected-41648-4	ואני רואה לצערי שכמה מקן לא נועלת אותן אבל חלק מכן נועלות אותן
b002-143	batch-002	real	adjacent	21	2	2800	suggested	agreed	ת/ט	תכנית	טכנית	106	97	3	6	firing-3363-3	הוא אמר שזו תכנית על כלום
b002-144	batch-002	real	adjacent	47	2	4025	in-text	overruled	א/ע	אם	עם	157	157	2	7	firing-95713-2	תקשיב טי אם הקול שלי שווה משהו
b002-145	batch-002	real	adjacent	34	2	6531	unclear	unclear	ע/א	עלא	אלא	48	123	3	8	firing-138704-3	דהרמה אתה ב עלא לאחרונה עם אמא שלי
b002-146	batch-002	real	adjacent	26	2	6071	in-text	overruled	ח/כ	חלל	כלל	96	116	4	14	firing-248606-4	אנו עלולים ליפול מהעל חלל לפני הזמן ולהתקע בחלל הרחוק או להתאייד ברגע ש
b002-147	batch-002	real	adjacent	21	2	9129	unclear	unclear	ס/ש	סתום	שתום	102	51	4	6	firing-86925-4	אני יעצור אותך ברט סתום העין
b002-148	batch-002	repeat:batch-001	adjacent	28	2	2664	in-text	overruled	ע/א	עליך	אליך	128	124	4	8	firing-230436-4	קנדל אני חושב שעובר עליך עוד יום רע
b002-149	batch-002	real	adjacent	51	2	3048	in-text	overruled	ע/א	נקרעה	נקראה	64	67	1	9	firing-109398-1	היא נקרעה לגזרים היא מתה מלב שבור הו טוב
b002-150	batch-002	real	adjacent	31	2	6928	both-fine	both-fine	ס/ש	לספל	לשפל	48	66	2	5	firing-170096-2	את זקוקה לספל של אומץ
b002-151	batch-002	injected	known			3495	suggested	control-pass	כ/ח	כן	חן	162	111	3	5	injected-70396-3	אולי הרעיון מוצא כן בעיניו
b002-152	batch-002	real	adjacent	27	2	7292	in-text	overruled	ט/ת	ישוט	ישות	25	72	1	10	firing-198219-1	הוא ישוט ליאדו בספינת העבדים כך שהוא יהיה שם כשתגיע
b002-153	batch-002	real	adjacent	26	2	2965	in-text	overruled	ע/א	וקרע	וקרא	53	69	7	11	firing-253189-7	הוא התקיף את הילד ממש מול עיננו וקרע את החולצה שלו
b002-154	batch-002	clean	none			1049	in-text	control-pass	ע/א	עוד	אוד	143	61	3	5	clean-96221-3	הוא לא יעבוד עוד לעולם
b002-155	batch-002	real	adjacent	26	2	4929	unclear	unclear	א/ע	האול	העול	31	64	3	11	firing-229788-3	תן לי את האול ספארק ואולי תזכה לחיות כחיית המחמד שלי
b002-156	batch-002	repeat:batch-001	adjacent	35	2	4490	in-text	overruled	ס/ש	מאסר	מאשר	90	118	14	18	firing-61713-14	כך שתסתכלו על הכל ותהיו צמודים למכשירי הקשר אם תמצאו משהוא תודיעו אני רוצה מאסר לא קרב יריות
b002-157	batch-002	injected	known			11403	suggested	control-pass	ב/ו	היב	היו	30	137	5	12	injected-44050-5	כל פעם שהתבצע שוד גדול היב חוקרים אותו ולא מוצאים שום דבר
b002-158	batch-002	repeat:batch-001	adjacent	35	2	2733	in-text	overruled	ע/א	לקרוע	לקרוא	91	119	2	5	firing-53596-2	כולנו צריכים לקרוע ת תחת
b002-159	batch-002	real	adjacent	28	2	2891	in-text	overruled	ס/ש	סולח	שולח	84	101	5	11	firing-22839-5	הוא גם אף פעם לא סולח לכל מי שעשה לו עוול
b002-160	batch-002	injected	known			1400	suggested	control-pass	ע/א	עני	אני	88	177	2	4	injected-113028-2	זה למה עני פה
b002-161	batch-002	injected	known			3836	suggested	control-pass	ב/ו	בכוס	וכוס	80	68	10	13	injected-51521-10	אתה יודע ממש ממש מתאים לי עכשיו איזה מציצה טובה בכוס קפה חם
b002-162	batch-002	injected	known			3547	suggested	control-pass	ו/ב	לון	לבן	68	113	4	7	injected-128601-4	את מתארת צעיף משי לון בספר שלך
b002-163	batch-002	real	adjacent	23	2	6158	in-text	overruled	ו/ב	ומשהו	במשהו	85	106	9	13	firing-102306-9	אבל תראה יש ארבעה בנים לאקי בקוסטה מסה לבד ומשהו כמו במחוז אורנג
b002-164	batch-002	real	adjacent	23	2	5820	suggested	agreed	א/ע	אוצר	עוצר	88	97	12	16	firing-110670-12	אני לא צריך להיות כאן אתה כאן ד ר וורן כי אתה אוצר מוזיאון ת ורן
b002-165	batch-002	real	adjacent	22	2	10496	in-text	overruled	ו/ב	ולרדוף	בלרדוף	54	46	10	14	firing-93358-10	אמא אני איש מאוד עסוק אין לי זמן לעזור לזה ולרדוף אחרי תביעות מגוכחות
b002-166	batch-002	injected	known			3616	suggested	control-pass	ע/א	לע	לא	85	178	4	7	injected-109377-4	אתה רופא הומר אתה לע מסריח מאתר
b002-167	batch-002	real	adjacent	43	2	1413	in-text	overruled	א/ע	אל	על	148	164	2	5	firing-67563-2	האם תדבר אל הוד מלכותו
b002-168	batch-002	injected	known			2890	suggested	control-pass	ב/ו	רבצה	רוצה	29	155	7	15	injected-104212-7	אני אישה עצמאית ששמה שפתון בגלל שאני רבצה לא בגלל שגברים חושבים שזה מושך יותר
b002-169	batch-002	real	adjacent	33	2	3253	in-text	overruled	ו/ב	וכל	בכל	117	138	5	10	firing-63832-5	גל הלם מחסל מין בודד וכל ההיסטוריה משתנה כתוצאה מכך
b002-170	batch-002	real	adjacent	27	2	3761	in-text	overruled	ו/ב	וחמש	בחמש	88	88	2	5	firing-84936-2	שלושה דולרים וחמש עשרה סנט
b002-171	batch-002	repeat:batch-001	adjacent	34	2	342	in-text	overruled	ט/ת	הביט	הבית	78	126	1	7	firing-53213-1	שזה הביט עליהם כמחלה מדבקת בכמה גלקסיות
b002-172	batch-002	injected	known			4740	suggested	control-pass	א/ע	אכשיו	עכשיו	39	150	7	16	injected-114536-7	לא אני חושש שאין לי אני רק אכשיו חזרתי לכאן אחרי הרבה שנים שלא הייתי פה
b002-173	batch-002	real	adjacent	31	2	1510	in-text	overruled	ס/ש	סולח	שולח	84	101	3	5	firing-150852-3	אל תחשבו שאני סולח לכם
b002-174	batch-002	real	adjacent	32	2	2386	in-text	overruled	ס/ש	לסיר	לשיר	59	103	3	7	firing-173288-3	אני מעדיפה לקפוץ לסיר עם מים רותחים
b002-175	batch-002	clean	none			2587	in-text	control-pass	ו/ב	חולנית	חבלנית	72	36	2	6	clean-38313-2	היא היתה חולנית מהרגע שפגשתי אותה
b002-176	batch-002	real	adjacent	23	2	4035	in-text	overruled	ו/ב	ומה	במה	122	116	9	13	firing-228870-9	אני חושב שהגיע הזמן שתבין מה זאת מוזיקה טובה ומה זאת מוזיקה גרועה
b002-177	batch-002	real	adjacent	44	2	3026	in-text	overruled	כ/ק	המכור	המקור	56	95	4	8	firing-14330-4	אלה לא העקבות של המכור ירא השמים המצוי
b002-178	batch-002	real	adjacent	73	2	12690	unclear	unclear	ו/ב	וי	בי	98	128	21	23	firing-154865-21	אתם באתם למקום הנכון אני הייתי סטודנט לתואר ראשון שנים אני יודע כל מה שצריך לדעת על ליגת הנשים של אי וי אי
b002-179	batch-002	repeat:batch-001	adjacent	25	2	3806	in-text	overruled	ו/ב	ותכנון	בתכנון	45	72	4	6	firing-223622-4	וליתר דיוק מחלקת הנדסה ותכנון ערים
b002-180	batch-002	real	adjacent	33	2	3662	in-text	overruled	א/ע	בצבא	בצבע	93	92	3	12	firing-217878-3	אבי נהג להיות בצבא אך כעת הוא סתם מומחה ממוצע לאיכות הסביבה
b002-181	batch-002	real	adjacent	28	2	3792	in-text	overruled	כ/ק	כמה	קמה	146	78	7	10	firing-31015-7	הוא שאל כמה שאלות על משחק הבייסבול כמה על הסמל
b002-182	batch-002	real	adjacent	22	2	5563	both-fine	both-fine	ב/ו	אבר	אור	63	108	3	5	firing-16908-3	הם תופסים כל אבר אפשרי
b002-183	batch-002	real	adjacent	29	2	3696	suggested	agreed	כ/ק	הכושי	הקושי	81	66	1	7	firing-37759-1	בגלל הכושי ההוא אני ארוויח מהכושי הזה
b002-184	batch-002	real	adjacent	58	2	1574	both-fine	both-fine	א/ע	אשר	עשר	115	114	2	4	firing-67197-2	זה האחד אשר בחיים
b002-185	batch-002	real	adjacent	32	2	21764	in-text	overruled	ח/כ	החול	הכול	87	126	5	16	firing-113328-5	כמה הריסות אפשר לראות אבל החול החם והמים הכחולים זה בשבילי אני לא רוצה לזרז אתכם
b002-186	batch-002	real	adjacent	29	2	2855	in-text	overruled	ש/ס	משיט	מסיט	52	58	1	6	firing-33119-1	אתה משיט את הסחורה שלך בנהר
b002-187	batch-002	real	adjacent	29	2	2489	in-text	overruled	ו/ב	והרבה	בהרבה	89	98	4	7	firing-136820-4	שנה וחצי אחר כך והרבה דברים קרו
b002-188	batch-002	real	adjacent	25	2	2931	suggested	agreed	ת/ט	תביעת	טביעת	71	87	4	7	firing-58177-4	ג ון יש לך תביעת עין לכשרון
b002-189	batch-002	real	adjacent	27	2	2785	unclear	unclear	ט/ת	בטי	בתי	99	107	1	4	firing-261329-1	בו בטי הוא עסוק
b002-190	batch-002	real	adjacent	57	2	8983	in-text	overruled	א/ע	אבד	עבד	83	111	6	9	firing-48598-6	לצערי הספר נאבד במאה ה לא אבד אלא נלקח
b002-191	batch-002	real	adjacent	33	2	13385	both-fine	both-fine	ו/ב	וארבעה	בארבעה	73	71	5	8	firing-194263-5	ספרטקוס זכה להצלחה ביקורתית ומסחרית וארבעה פרסי אוסקר
b002-192	batch-002	real	adjacent	36	2	6494	in-text	overruled	ב/ו	בחצי	וחצי	93	107	2	8	firing-112578-2	הוא זכה בחצי מיליון בהנד בול ועכשיו ברולטה
b002-193	batch-002	real	adjacent	22	2	2489	unclear	unclear	ב/ו	וכב	וכו	31	83	1	17	firing-581-1	ל וכב ת ודיר מ ל ע ע מ שנ הנידמבתו מ וקמה םורדבםג ו ן ופצבםג
b002-194	batch-002	clean	none			646	in-text	control-pass	ב/ו	באתי	ואתי	116	43	5	7	clean-79632-5	איך זה היה נראה אילו באתי לבד
b002-195	batch-002	real	adjacent	22	2	2924	in-text	overruled	ע/א	קרע	קרא	87	106	3	14	firing-47182-3	אמא שלי זה קרע אותה מבפנים מפני שהיא לא יכלה לעשות דבר בקשר לזה
b002-196	batch-002	injected	known			38814	suggested	control-pass	א/ע	לאצור	לעצור	34	121	15	24	injected-8173-15	תקשיב תראה אנחנו יכולים ללכת להשיג צו לחזור עם הבולשת ולקחת כל מה שאנחנו רוצין לאצור כל מי שנרצה פשוט תן לבנאדם את הקלטת
b002-197	batch-002	real	adjacent	59	2	5271	in-text	overruled	ו/ב	וי	בי	98	128	6	19	firing-61545-6	אני עם ויולט כלומר הייתי עם וי לא מזמן היה לנו תינוק ביחד אזאנחנו אני לא יודע מה אנחנו
